LGID,SOURCE,LGNAME,LGTYPEID,LGSTATUSID,ABBREV_NAM,MAIL_ADDRE,ALT_ADDRES,MAIL_CITY,MAIL_STATE,MAIL_ZIP,URL,PREV_NAME
65894,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 11,6,1,TransPort Metropolitan District No. 11,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65895,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 12,6,1,TransPort Metropolitan District No. 12,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65896,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 13,6,1,TransPort Metropolitan District No. 13,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65897,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 14,6,1,TransPort Metropolitan District No. 14,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65898,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 15,6,1,TransPort Metropolitan District No. 15,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65131,JeffCo Dissolved Parcels 07-01-2015,Arvada West Town Center Business Improvement District,57,1,Arvada West Town Center B.I.D.,"8390 E. Crescent Parkway, Suite 500",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,,
65099,JeffCo Dissolved Parcels 07-01-2015,Aspen Park Metropolitan District,6,1,Aspen Park Metropolitan District,8390 East Crescent Pkwy Ste 500,c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,aspenparkmetropolitandistrict.org,
30004,JeffCo Dissolved Parcels 07-01-2015,Bancroft-Clover Water & Sanitation District,12,1,Bancroft-Clover Water & San. District,900 South Wadsworth Boulevard,,Lakewood,CO,80226,www.bancroft-clover.com,
30005,JeffCo Dissolved Parcels 07-01-2015,Bear Creek Water & Sanitation District,12,1,Bear Creek Water & Sanitation District,2517 South Flower Street,,Lakewood,CO,80227-2912,,
65299,Adams Assessor Office 06-25-2015,TR Ranch Metropolitan District,6,1,TR Ranch Metropolitan District,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,,
66411,Adams Assessor Office 06-25-2015,Village at Dry Creek Metropolitan District No. 1,6,1,Village at Dry Creek Metro. District #1,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,,
66412,Adams Assessor Office 06-25-2015,Village at Dry Creek Metropolitan District No. 2,6,1,Village at Dry Creek Metro. District #2,"2154 East Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122-1880,,
66413,Adams Assessor Office 06-25-2015,Village at Dry Creek Metropolitan District No. 3,6,1,Village at Dry Creek Metro. District #3,"2154 East Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122-1880,,
66414,Adams Assessor Office 06-25-2015,Village at Dry Creek Metropolitan District No. 4,6,1,Village at Dry Creek Metro. District #4,"2154 East Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122-1880,,
66137,Adams Assessor Office 06-25-2015,Villas at Eastlake Reservoir Metropolitan District,6,1,Villas at Eastlake Reservoir Metro. Dist,"2154 E. Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,,
65990,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 1,6,1,Velocity Metropolitan District No. 1,"1700 Lincoln Street, Suite 3800",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
66215,Adams Assessor Office 06-25-2015,Village at Thorncreek Metropolitan District,6,1,Village at Thorncreek Metro. District,1001 W 120th #215,"c/o Talarico & Associates, Inc",Westminster,CO,80234,,
66477,Adams Assessor Office 06-25-2015,Willow Bend Metropolitan District,6,1,Willow Bend Metropolitan District,"1641 California Street, Suite 300","c/o Miller & Associates Law Offices, LLC",Denver,CO,80202,,
01049,Adams Assessor Office 06-25-2015,Wright Farms Metropolitan District,6,1,Wright Farms Metropolitan District,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,http://wrightfarmsmetropolitandistrict.com/wfmd/,
65435,Adams Assessor Office 06-25-2015,Windler Homestead Metropolitan District,6,1,Windler Homestead Metropolitan District,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,WH Metropolitan District No. 2
65434,Adams Assessor Office 06-25-2015,WH Metropolitan District No. 1,6,1,WH Metropolitan District No. 1,"141 Union Boulevard, Suite 150",c/o Special District Management,Lakewood,CO,80228-1898,,
65571,Adams Assessor Office 06-25-2015,Welby Metropolitan District,6,1,Welby Metropolitan District,"200 West Hampden Avenue, Suite 201","c/o Richco Investments, LLC",Englewood,CO,80110,,
65161,JeffCo Dissolved Parcels 07-01-2015,Alameda Corridor Business Improvement District,57,1,Alameda Corridor B.I.D.,"275 So. Sheridan Blvd., # 108",,Lakewood,CO,80226,,
30003,JeffCo Dissolved Parcels 07-01-2015,Arvada Fire Protection District,8,1,Arvada Fire Protection District,7903 Allison Way,,Arvada,CO,80005,www.arvadafire.com,
30012,JeffCo Dissolved Parcels 07-01-2015,Brook Forest Water District,11,1,Brook Forest Water District,"9249 South Broadway, #200-344",,Highlands Ranch,CO,80129,www.brookforestwater.org,
30146,JeffCo Dissolved Parcels 07-01-2015,Buffalo Creek Water District,11,1,Buffalo Creek Water District,PO Box 385,,Buffalo Creek,CO,80425,,
65267,JeffCo Dissolved Parcels 07-01-2015,Canyon Pines Metropolitan District,6,1,Canyon Pines Metropolitan District,"141 Union Boulevard, Suite 150","c/o Special District Management Service, Inc.",Lakewood,CO,80228-1898,,Jefferson Center Metropolitan District No. 5
30134,JeffCo Dissolved Parcels 07-01-2015,Chimney Rock Metropolitan District,6,1,Chimney Rock Metropolitan District,"141 Union Boulevard, Suite 150",c/o Special District Management,Lakewood,CO,80228-1898,,
