"Feature Name|""ID""|""Class""|""County""|""State""|""Latitude""|""Longitude""|""Ele(ft)""|""Map""|""BGN Date""|""Entry Date""|"
"Bark Ranch|""197808""|""Populated Place""|""Boulder""|""CO""|""400703N""|""1052622W""|""8510""|""Gold Hill""|""""|""01-SEP-1992"""
"Bark Ranch Census Designated Place|""2583210""|""Census""|""Boulder""|""CO""|""400656N""|""1052630W""|""8586""|""Gold Hill""|""""|""31-MAR-2010"""
"Barnesville|""180670""|""Populated Place""|""Weld""|""CO""|""402845N""|""1042847W""|""4655""|""Barnesville""|""""|""13-OCT-1978"""
"Barr Lake|""184609""|""Populated Place""|""Adams""|""CO""|""395640N""|""1044631W""|""5111""|""Brighton""|""""|""13-OCT-1978"""
"Bartlett|""196180""|""Populated Place""|""Baca""|""CO""|""372600N""|""1020839W""|""3776""|""Bartlett""|""""|""13-OCT-1978"""
"Basalt|""175038""|""Populated Place""|""Eagle""|""CO""|""392208N""|""1070158W""|""6611""|""Basalt""|""""|""13-OCT-1978"""
"Basin|""186184""|""Populated Place""|""San Miguel""|""CO""|""380357N""|""1083212W""|""6529""|""Basin""|""""|""13-OCT-1978"""
"Battle Creek|""169615""|""Populated Place""|""Routt""|""CO""|""410005N""|""1071442W""|""6706""|""Cottonwood Rim""|""""|""13-OCT-1978"""
"Battlement Mesa|""1867077""|""Populated Place""|""Garfield""|""CO""|""392629N""|""1080130W""|""5489""|""Parachute""|""""|""15-MAY-2000"""
"Battlement Mesa Census Designated Place|""2407805""|""Census""|""Garfield""|""CO""|""392702N""|""1080024W""|""5830""|""Parachute""|""""|""11-MAR-2008"""
"Baxter|""203691""|""Populated Place""|""Pueblo""|""CO""|""381633N""|""1042930W""|""4606""|""Devine""|""""|""13-OCT-1978"""
"Baxterville|""190273""|""Populated Place""|""Rio Grande""|""CO""|""374027N""|""1063928W""|""8235""|""South Fork West""|""""|""13-OCT-1978"""
"Bayfield|""184411""|""Populated Place""|""La Plata""|""CO""|""371332N""|""1073553W""|""6900""|""Bayfield""|""""|""13-OCT-1978"""
"Bayou Hills|""2085625""|""Populated Place""|""Douglas""|""CO""|""392535N""|""1044214W""|""6368""|""Ponderosa Park""|""""|""30-MAR-2006"""
"Beacon Hill|""191278""|""Populated Place""|""Teller""|""CO""|""384321N""|""1050954W""|""9524""|""Cripple Creek South""|""""|""13-OCT-1978"""
"Bear River (historical)|""171402""|""Populated Place""|""Routt""|""CO""|""402902N""|""1070702W""|""6424""|""Milner""|""""|""13-OCT-1978"""
"Bear Valley|""2117939""|""Populated Place""|""Denver""|""CO""|""393946N""|""1050339W""|""5387""|""Fort Logan""|""""|""16-APR-2007"""
"Bear Valley Heights|""2117940""|""Populated Place""|""Denver""|""CO""|""393851N""|""1050332W""|""5459""|""Fort Logan""|""""|""16-APR-2007"""
"Beards Corner|""186182""|""Populated Place""|""San Miguel""|""CO""|""380357N""|""1083643W""|""6368""|""Basin""|""""|""13-OCT-1978"""
"Beartown (historical)|""187812""|""Populated Place""|""San Juan""|""CO""|""374322N""|""1073014W""|""11188""|""Storm King Peak""|""""|""13-OCT-1978"""
"Beaver Creek Village|""2571064""|""Populated Place""|""Eagle""|""CO""|""393618N""|""1063055W""|""8097""|""Grouse Mountain""|""""|""18-SEP-2009"""
"Beaver Point|""177906""|""Populated Place""|""Larimer""|""CO""|""402152N""|""1053240W""|""7651""|""Longs Peak""|""""|""13-OCT-1978"""
"Beck Sand Draw Crossing|""193312""|""Populated Place""|""Elbert""|""CO""|""390137N""|""1040312W""|""6211""|""Alta Vista""|""""|""13-OCT-1978"""
"Bedrock|""185822""|""Populated Place""|""Montrose""|""CO""|""381854N""|""1085327W""|""4990""|""Paradox""|""""|""13-OCT-1978"""
"Beecher Island|""183104""|""Populated Place""|""Yuma""|""CO""|""395220N""|""1021104W""|""3517""|""Beecher Island""|""""|""13-OCT-1978"""
"Belden|""176127""|""Populated Place""|""Eagle""|""CO""|""393132N""|""1062310W""|""9646""|""Minturn""|""""|""13-OCT-1978"""
"Belleview|""189430""|""Populated Place""|""Chaffee""|""CO""|""383409N""|""1060214W""|""7214""|""Salida West""|""""|""13-OCT-1978"""
"Bellevue Acres|""2354978""|""Populated Place""|""Jefferson""|""CO""|""393718N""|""1050832W""|""5840""|""Indian Hills""|""""|""16-OCT-2007"""
"Bennett|""204738""|""Populated Place""|""Adams""|""CO""|""394532N""|""1042539W""|""5485""|""Bennett""|""""|""13-OCT-1978"""
"Benton|""195630""|""Populated Place""|""Otero""|""CO""|""375418N""|""1033926W""|""4281""|""Hawley""|""""|""13-OCT-1978"""
"Bergen Park|""182110""|""Populated Place""|""Jefferson""|""CO""|""394129N""|""1052142W""|""7798""|""Evergreen""|""""|""13-OCT-1978"""
"Berkeley Gardens|""2354426""|""Populated Place""|""Adams""|""CO""|""394741N""|""1050205W""|""5285""|""Arvada""|""""|""27-SEP-2007"""
"Berkley|""1852837""|""Populated Place""|""Adams""|""CO""|""394816N""|""1050134W""|""5213""|""Arvada""|""""|""21-JAN-2000"""
"Berkley Census Designated Place|""2407830""|""Census""|""Adams""|""CO""|""394816N""|""1050141W""|""5210""|""Arvada""|""""|""11-MAR-2008"""
"Berthoud|""178065""|""Populated Place""|""Larimer""|""CO""|""401830N""|""1050452W""|""5036""|""Berthoud""|""""|""13-OCT-1978"""
"Berthoud Falls|""197798""|""Populated Place""|""Clear Creek""|""CO""|""394615N""|""1054831W""|""9793""|""Berthoud Pass""|""""|""01-SEP-1992"""
"Berts Corner|""178064""|""Populated Place""|""Larimer""|""CO""|""401828N""|""1050610W""|""5075""|""Berthoud""|""""|""13-OCT-1978"""
"Beshoar|""194730""|""Populated Place""|""Las Animas""|""CO""|""371305N""|""1042424W""|""5922""|""Trinidad East""|""""|""13-OCT-1978"""
"Beta|""182873""|""Populated Place""|""Logan""|""CO""|""402758N""|""1032244W""|""4058""|""Messex""|""""|""13-OCT-1978"""
"Beta|""195565""|""Populated Place""|""Prowers""|""CO""|""380510N""|""1024126W""|""3655""|""Lamar West""|""""|""13-OCT-1978"""
"Bethune|""195124""|""Populated Place""|""Kit Carson""|""CO""|""391815N""|""1022529W""|""4258""|""Bethune""|""""|""13-OCT-1978"""
"Beulah Valley|""1852838""|""Populated Place""|""Pueblo""|""CO""|""380420N""|""1045759W""|""6171""|""Beulah""|""""|""21-JAN-2000"""
"Beulah Valley Census Designated Place|""2407835""|""Census""|""Pueblo""|""CO""|""380359N""|""1045843W""|""6411""|""Beulah""|""""|""11-MAR-2008"""
"Beverly Hills|""2085584""|""Populated Place""|""Douglas""|""CO""|""392829N""|""1045239W""|""6404""|""Sedalia""|""""|""30-MAR-2006"""
"Beverly Hills|""203040""|""Populated Place""|""Douglas""|""CO""|""392830N""|""1045247W""|""6352""|""Sedalia""|""""|""13-OCT-1978"""
"Beverly Hills Census Designated Place|""2583211""|""Census""|""Douglas""|""CO""|""392847N""|""1045246W""|""6329""|""Sedalia""|""""|""31-MAR-2010"""
"Big Bend|""203815""|""Populated Place""|""Bent""|""CO""|""381205N""|""1024503W""|""3816""|""McClave""|""""|""13-OCT-1978"""
"Big Elk Meadows|""177996""|""Populated Place""|""Boulder""|""CO""|""401543N""|""1052549W""|""7513""|""Panorama Peak""|""""|""13-OCT-1978"""
"Bighorn|""175932""|""Populated Place""|""Eagle""|""CO""|""393812N""|""1061750W""|""8478""|""Vail East""|""""|""13-OCT-1978"""
"Biglow|""197215""|""Populated Place""|""Pitkin""|""CO""|""392037N""|""1064002W""|""8337""|""Meredith""|""""|""01-DEC-1991"""
"Bijou|""185116""|""Populated Place""|""Elbert""|""CO""|""392521N""|""1041154W""|""6158""|""Bijou""|""""|""13-OCT-1978"""
"Birdseye|""179911""|""Populated Place""|""Lake""|""CO""|""391840N""|""1061339W""|""10207""|""Climax""|""""|""13-OCT-1978"""
"Black Eagle Mill|""182000""|""Populated Place""|""Clear Creek""|""CO""|""394335N""|""1053251W""|""7762""|""Idaho Springs""|""""|""13-OCT-1978"""
"Black Forest|""193282""|""Populated Place""|""El Paso""|""CO""|""390047N""|""1044203W""|""7369""|""Black Forest""|""""|""13-OCT-1978"""
"Black Forest Census Designated Place|""2407856""|""Census""|""El Paso""|""CO""|""390339N""|""1044031W""|""7575""|""Black Forest""|""""|""11-MAR-2008"""
"Black Hollow Junction|""177452""|""Populated Place""|""Larimer""|""CO""|""403546N""|""1050146W""|""4957""|""Fort Collins""|""""|""13-OCT-1978"""
"Blakeland|""182623""|""Populated Place""|""Douglas""|""CO""|""393335N""|""1050212W""|""5423""|""Littleton""|""""|""13-OCT-1978"""
"Blanca|""203627""|""Populated Place""|""Costilla""|""CO""|""372617N""|""1053057W""|""7756""|""Blanca""|""""|""13-OCT-1978"""
"Blende|""193790""|""Populated Place""|""Pueblo""|""CO""|""381445N""|""1043407W""|""4737""|""Southeast Pueblo""|""""|""13-OCT-1978"""
"Blende Census Designated Place|""2583212""|""Census""|""Pueblo""|""CO""|""381449N""|""1043409W""|""4737""|""Southeast Pueblo""|""""|""31-MAR-2010"""
"Bloom|""195786""|""Populated Place""|""Otero""|""CO""|""374115N""|""1035724W""|""4800""|""Bloom""|""""|""13-OCT-1978"""
"Blue River|""179660""|""Populated Place""|""Summit""|""CO""|""392547N""|""1060238W""|""10036""|""Breckenridge""|""""|""13-OCT-1978"""
